LTC Home,City,Beds,Resident Deaths,Home Type,Ownership Details,% Residents Over 85 (2018-2019),
Belvedere Heights,Parry Sound,101,0,Municipal,,56,
Brierwood Gardens,Brantford,79,0,For-profit (financialized),Revera (wholly owned subsidiary of the Public Sector Pension Investment Board),47.6,
Camilla Care Community,Mississauga,236,68,For-profit (financialized),Sienna Senior Living (REIT),40,
Elmwood Place,London,90,0,For-profit (financialized),Revera (wholly owned subsidiary of the Public Sector Pension Investment Board),32,
Extendicare Medex,Ottawa,193,0,For-profit (financialized),Extendicare (REIT),39.3,
Extendicare Oshawa,Oshawa,175,0,For-profit (financialized),Extendicare (REIT),41.4,
Garden City Manor,St. Catharines,200,<5,For-profit (financialized),Revera (wholly owned subsidiary of the Public Sector Pension Investment Board),40.7,
Garden Court Nursing Home,Etobicoke,45,10,For-profit,Shaparrall Limited,55.1,
Grace Villa Nursing Home,Hamilton,184,0,For-profit,Grace Villa Limited,44.3,
Harmony Hills Care Community,East York,160,0,For-profit (financialized),Sienna Senior Living (REIT),55.5,
Linhaven,St. Catharines,248,0,Municipal,,41.4,
Malton Village Long Term Care Centre,Mississauga,160,0,Municipal,,53.4,
Mennonite Brethren Senior Citizens Home,St. Catharines,128,0,Non-profit,,71.3,
Midland Gardens Care Community,Scarborough,299,42,For-profit (financialized),Sienna Senior Living (REIT),37,
Nisbet Lodge,Toronto,103,8,Non-profit,,61.5,
peopleCare A.R. Goudie Kitchener,Kitchener,80,9,Non-profit,,56.5,
Riverside Place,Windsor,96,0,For-profit (financialized),Revera (wholly owned subsidiary of the Public Sector Pension Investment Board),55,
South Centennial Manor,Iroquois Falls,69,0,Non-profit,,43.5,
Southlake Residential Care Village,Newmarket,224,0,Non-profit,Managed by Extendicare,51.3,
The Jewish Home for the Aged,North York,472,<5,Non-profit,,63.2,
The Kensington Gardens,Toronto,350,8,Non-profit,,50,
The Perley and Rideau Veterans' Health Centre,Ottawa,450,12,Non-profit,,67.2,
Ukrainian Canadian Care Centre,Etobicoke,152,10,Non-profit,,85.7,
Villa Colombo Homes for the Aged,Toronto,391,27,Non-profit,,63,
Waters Edge Care Community,North Bay,148,0,For-profit (financialized),Sienna Senior Living (REIT),37.1,
Weston Terrace Care Community,Toronto,224,34,For-profit (financialized),Sienna Senior Living (REIT),52,
Woodbridge Vista Care Community,Woodbridge,224,31,For-profit (financialized),Sienna Senior Living (REIT),60.6,
Afton Park Place Long Term Care Community,Sarnia,128,0,For-profit,S & R Nursing Homes,45.4,
"Albright Gardens Homes, Incorporated",Beamsville,231,0,Non-profit,,59.7,
Alexander Place,Waterdown,128,0,For-profit,Waterdown Long Term Care Centre Inc.,53.3,
Allendale,Milton,200,0,Municipal,,53.9,
Almonte Country Haven,Almonte,82,29,For-profit,0760444 B.C. Ltd. As General Partner On Behalf Of Omni Health Care Limited Partnership,49,
Altamont Care Community,Scarborough,159,53,For-profit (financialized),Sienna Senior Living (REIT),54.8,
Anson Place Care Centre,Hagersville,61,23,For-profit,Rykka Care Centres,52.5,
Arbour Creek Long-Term Care Centre,Hamilton,129,0,For-profit,Rykka Care Centres,57.1,
Avalon Retirement Centre,Orangeville,137,0,For-profit,488491 Ontario Inc.,42.7,
Banwell Gardens Care Centre,Tecumseh,142,0,For-profit,Rykka Care Centres,45,
Bay Ridges,Pickering,124,0,For-profit,Axr Operating (National) Lp,58.1,
Belmont House,Toronto,140,0,Non-profit,,61.9,
Belmont Long Term Care Facility,Belleville,128,0,For-profit,Belcrest Nursing Homes Limited,53.6,
Bendale Acres,Scarborough,302,0,Municipal,,50.9,
Bennett Health Care Centre,Georgetown,66,0,Non-profit,,60.4,
Berkshire Care Centre,Windsor,231,0,For-profit,Rykka Care Centres,22.1,
Bethany Lodge,Markham,128,<5,Non-profit,,69.7,
Blackadar Continuing Care Centre,Dundas,80,0,For-profit,Blackadar Continuing Care Centre Inc.; Managed by Extendicare,37.3,
Blue Water Rest Home,Zurich,65,0,Non-profit,,50.5,
Bonnechere Manor,Renfrew,180,0,Municipal,,51.6,
Bradford Valley Care Community,Bradford,246,12,For-profit (financialized),Sienna Senior Living (REIT),53.4,
Braemar Retirement Centre,Wingham,69,0,For-profit,Macgowan Nursing Homes Ltd.,48.7,
Brucelea Haven Long Term Care Home - Corporation of the County of Bruce,Walkerton,144,0,Municipal,,53.2,
Burton Manor,Brampton,128,12,For-profit,1245556 Ontario Inc.; Managed by Primacare Living Solutions Inc.,45.4,
CAMA Woodlands Nursing Home,Burlington,134,0,Non-profit,,56.8,
Carefree Lodge,North York,127,0,Municipal,,61,
Caressant Care Courtland,Courtland,55,0,For-profit,Caressant-care Nursing And Retirement Homes Limited,66.7,
Caressant Care Fergus Nursing Home,Fergus,87,0,For-profit,Caressant-care Nursing And Retirement Homes Limited,33,
Caressant Care Lindsay Nursing Home,Lindsay,124,0,For-profit,Caressant-care Nursing And Retirement Homes Limited,57.4,
Caressant Care on Bonnie Place,St Thomas,116,0,For-profit,Caressant-care Nursing And Retirement Homes Limited,34.6,
Carlingview Manor,Ottawa,303,61,For-profit (financialized),Revera (wholly owned subsidiary of the Public Sector Pension Investment Board),34.1,
Case Manor Care Community,Bobcaygeon,96,0,For-profit (financialized),Sienna Senior Living (REIT),48.7,
Cassellholme,North Bay,240,0,Municipal,,51.2,
Castleview Wychwood Towers,Toronto,456,0,Municipal,,43.6,
Cawthra Gardens,Mississauga,192,0,For-profit,Delcare Ltc Inc.; Managed by Chartwell,58.7,
Cedarvale Terrace,Toronto,218,0,For-profit,Cedarvale Terrace Ltc Inc. As General Partner Of Cedarvale Terrace Ltc Limited Partnership,40.5,
Cedarwood Village,Simcoe,90,0,Non-profit,,51.9,
Centre d'Accueil Champlain,Vanier,160,0,Municipal,,53.5,
Centre d'Accueil Roger Seguin,Clarence Creek,113,0,Non-profit,,44.4,
Chartwell Aurora Long Term Care Residence,Aurora,235,11,For-profit (financialized),Chartwell (REIT),43.1,
Chartwell Ballycliffe Long Term Care Residence,Ajax,100,32,For-profit (financialized),Chartwell (REIT),57.5,
Chartwell Brant Centre Long Term Care Residence,Burlington,175,0,For-profit (financialized),Chartwell (REIT),58.7,
Chartwell Elmira Long Term Care Residence,Elmira,48,0,For-profit (financialized),Chartwell (REIT),60.3,
Chartwell Gibson Long Term Care Residence,North York,202,9,For-profit (financialized),Chartwell (REIT),54.9,
Chartwell Pine Grove Long Term Care Residence,Woodbridge,96,0,For-profit (financialized),Chartwell (REIT),67.2,
Chartwell Royal Oak Long Term Care Residence,Kingsville,160,0,For-profit (financialized),Chartwell (REIT),58.8,
Chartwell Trilogy Long Term Care Residence,Scarborough,197,0,For-profit (financialized),Chartwell (REIT),49.6,
Chartwell Waterford Long Term Care Residence,Oakville,168,0,For-profit (financialized),Chartwell (REIT),55.6,
Chartwell Wenleigh Long Term Care Residence,Mississauga,161,0,For-profit (financialized),Chartwell (REIT),55.4,
Chartwell Westbury Long Term Care Residence,Etobicoke,187,22,For-profit (financialized),Chartwell (REIT),61.6,
Chartwell Westmount Long Term Care Residence,Kitchener,160,0,For-profit (financialized),Chartwell (REIT),55.8,
Chartwell White Eagle Long Term Care Residence,Toronto,56,12,For-profit (financialized),Chartwell (REIT),44.9,
Chartwell Woodhaven Long Term Care Residence,Markham,192,0,For-profit (financialized),Chartwell (REIT),54.6,
Chartwell Wynfield Long Term Care Residence,Oshawa,172,0,For-profit (financialized),Chartwell (REIT),65.1,
Chelsey Park,London,247,0,For-profit (financialized),"Cvh (No. 3) Lp By Its General Partners, Southbridge Health Care Gp Inc. And Southbridge Care Homes (A Limited Partnership, By Its General Partner, Southbridge Care Homes Inc.); Managed by Diversicare Canada Management Services Co., Inc.",46.6,
Chester Village,Toronto,203,0,Non-profit,,62.8,
Collingwood Nursing Home,Collingwood,64,0,For-profit,Collingwood Nursing Home Limited,45.4,
Columbia Forest,Waterloo,156,0,For-profit (financialized),Revera (wholly owned subsidiary of the Public Sector Pension Investment Board),54.8,
Cooksville Care Centre,Mississauga,192,21,For-profit,Rykka Care Centres,33.8,
Copernicus Lodge,Toronto,228,0,Non-profit,,68.9,
Country Terrace,Komoka,120,0,For-profit,Omni Healthcare (Ct) Gpco Ltd. As General Partner Of Omni Healthcare (Country Terrace) Limited Partnershippartner,48,
Country Village Homes - Woodslee,Woodslee,104,18,For-profit (financialized),"Cvh (No. 5) Lp By Its General Partners, Southbridge Health Care Gp Inc. And Southbridge Care Homes (A Limited Partnership, By Its General Partner, Southbridge Care Homes Inc.); Managed by Kanata Living Inc.",45.6,
Creedan Valley Care Community,Creemore,95,0,For-profit (financialized),Sienna Senior Living (REIT),39,
Creek Way Village,Burlington,144,0,Municipal,,60.7,
Crescent Park Lodge,Fort Erie,68,0,For-profit,955464 Ontario Limited,38.6,
Cummer Lodge,North York,391,<5,Municipal,,43.9,
Deerwood Creek Care Community,Etobicoke,160,0,For-profit (financialized),Sienna Senior Living (REIT),56.2,
Delhi Long Term Care Centre,Delhi,60,0,For-profit,Delhi Nursing Home Ltd.,51.1,
Dom Lipa,Etobicoke,66,0,Non-profit,,64.6,
Douglas H. Rapelje Lodge,Welland,120,0,Municipal,,50.4,
Downsview Long Term Care Centre,North York,252,64,For-profit,GEM Health Care Group,40.3,
Dufferin Oaks,Shelburne,160,0,Municipal,,53.4,
Dundurn Place Care Centre,Hamilton,201,<5,For-profit,Rykka Care Centres,27.1,
Eagle Terrace,Newmarket,70,<5,For-profit (financialized),Revera (wholly owned subsidiary of the Public Sector Pension Investment Board),64.8,
Earls Court Village,London,128,0,For-profit,Sharon Farms & Enterprises Limited; Managed by Responsive Health Management Inc.,48.5,
Eastholme Home for the Aged,Powassan,128,0,Municipal,,60.6,
Eatonville Care Centre,Etobicoke,247,42,For-profit,Rykka Care Centres,52.4,
Ehatare Nursing Home,Scarborough,32,0,Non-profit,,90,
Elgin Abbey Nursing Home,Chesley,27,0,For-profit,Capricorn Investments Corporation Limited; Managed by Extendicare,52.1,
Élisabeth-Bruyère Residence,Ottawa,71,15,Non-profit,,47.8,
Elizabeth Centre,Val Caron,128,0,For-profit,Valley East Long Term Care Centre Inc.,39.9,
Elm Grove Living Centre,Toronto,126,18,For-profit,Elm Grove Living Centre Inc.,32.5,
Erin Mills Lodge Nursing Home,Mississauga,86,17,For-profit,Schlegel Villages Inc.,61.6,
Exeter Villa,Exeter,47,0,For-profit,Atk Care Inc.,50.6,
Extendicare Bayview,North York,205,12,For-profit (financialized),Extendicare (REIT),60.4,
Extendicare Brampton,Brampton,150,<5,For-profit (financialized),Extendicare (REIT),52.8,
Extendicare Guildwood,Scarborough,169,48,For-profit (financialized),Extendicare (REIT),43.6,
Extendicare Halton Hills,Georgetown,130,0,For-profit (financialized),Extendicare (REIT),45.9,
Extendicare Hamilton,Hamilton,160,0,For-profit (financialized),Extendicare (REIT),62.5,
Extendicare Lakefield,Lakefield,100,0,For-profit (financialized),Extendicare (REIT),58.8,
Extendicare Laurier Manor,Gloucester,242,25,For-profit (financialized),Extendicare (REIT),30.6,
Extendicare Maple View of Sault Ste. Marie,Sault Ste. Marie,256,0,For-profit (financialized),Extendicare (REIT),48.3,
Extendicare Rouge Valley,Toronto,192,0,For-profit (financialized),Extendicare (REIT),56,
Extendicare Scarborough,Scarborough,154,14,For-profit (financialized),Extendicare (REIT),33.9,
Extendicare Southwood Lakes,Windsor,150,0,For-profit (financialized),Extendicare (REIT),61.4,
Extendicare Starwood,Nepean,192,0,For-profit (financialized),Extendicare (REIT),48.5,
Extendicare Tecumseh,Tecumseh,128,0,For-profit (financialized),Extendicare (REIT),60.3,
Extendicare Timmins,Timmins,180,0,For-profit (financialized),Extendicare (REIT),43.5,
Extendicare West End Villa,Ottawa,242,0,For-profit (financialized),Extendicare (REIT),31.6,
Extendicare York,Sudbury,288,0,For-profit (financialized),Extendicare (REIT),38.3,
Fairview Lodge,Whitby,198,0,Municipal,,58.8,
Fairview Nursing Home,Toronto,108,0,For-profit,Fairview Nursing Home Limited; Managed by Specialty Care Inc.,40.9,
Faith Manor Nursing Home,Brampton,120,<5,Non-profit,,65.5,
Fenelon Court,Fenelon Falls,67,0,For-profit,Axr Operating (National) Lp,70.1,
Fieldstone Commons Care Community,Scarborough,224,0,For-profit (financialized),Sienna Senior Living (REIT),59.5,
Finlandia Hoivakoti Nursing Home,Sudbury,112,0,For-profit,Finlandia Nursing Home Limited,52.2,
Forest Heights,Kitchener,240,51,For-profit (financialized),Revera (wholly owned subsidiary of the Public Sector Pension Investment Board),32.7,
Fountain View Care Community,East York,158,0,For-profit (financialized),Sienna Senior Living (REIT),48.7,
Foyer St-Viateur Nursing Home,Limoges,57,0,For-profit,Genesis Gardens Inc.,46.3,
Franklin Gardens Long Term Care Home,Leamington,120,0,For-profit,"Dtoc Long Term Care Lp, By Its General Partner, Dtoc Long Term Care Mgp (A General Partnership) By Its Partners, Dtoc Long Term Care Gp Inc. And Arch Venture Holdings Inc.; Managed by Universalcare Canada Inc.",45.2,
Fudger House,Toronto,250,0,Municipal,,40,
Garden Terrace,Kanata,160,0,For-profit,0760444 B.C. Ltd. As General Partner On Behalf Of Omni Health Care Limited Partnership,45.2,
Gardenview Long Term Care Home,Townsend,64,0,Non-profit,,66.3,
Garry J. Armstrong Home,Ottawa,180,0,Municipal,,50.7,
Glebe Centre,Ottawa,254,0,Non-profit,,44.4,
Glen Hill Strathaven,Bowmanville,210,0,Non-profit,,37.5,
Golden Dawn Nursing Home,Lion's Head,45,0,Non-profit,,44.1,
Golden Manor,Timmins,177,0,Municipal,,39.1,
Golden Years Nursing Home,Cambridge,88,0,For-profit,Golden Years Nursing Homes (Cambridge) Inc.,36.3,
Grace Manor,Brampton,120,12,Non-profit,,54.8,
Greenwood Court,Stratford,45,<5,Non-profit,,75.4,
Hallowell House,Picton,97,0,For-profit (financialized),Revera (wholly owned subsidiary of the Public Sector Pension Investment Board),41.2,
Hampton Terrace Care Centre,Burlington,101,0,For-profit,Unger Nursing Homes Limited,55.6,
Harold and Grace Baker Centre,Toronto,120,16,For-profit (financialized),"Owned by Revera, a wholly owned subsidiary of the Public Sector Pension Investment Board",55.7,
Hastings Manor Home for the Aged,Belleville,253,<5,Municipal,,57.1,
Hawthorn Woods Care Community,Brampton,160,0,For-profit (financialized),Sienna Senior Living (REIT),47.8,
Hawthorne Place Care Centre,North York,269,51,For-profit,Rykka Care Centres,29.3,
Hellenic Care for Seniors (Toronto),Toronto,81,0,Non-profit,,67.5,
Hellenic Home - Scarborough,Scarborough,128,15,Non-profit,,66.8,
