LTC Home,City,Beds,Resident Deaths,Home Type,Ownership Details,% Residents Over 85 (2018-2019),
Henley Place,London,192,0,For-profit,Henley Place Limited; Managed by Primacare Living Solutions Inc.,52.2,
Heritage Green Nursing Home,Stoney Creek,167,<5,Non-profit,,54.4,
Heron Terrace Long Term Care Community,Windsor,140,25,For-profit,S & R Nursing Homes,47.6,
Hillsdale Estates,Oshawa,300,0,Municipal,,51.7,
Hillsdale Terraces,Oshawa,200,13,Municipal,,54.8,
Hillside Manor,Stratford,90,0,For-profit (financialized),Revera (wholly owned subsidiary of the Public Sector Pension Investment Board),46.8,
Hogarth Riverview Manor,Thunder Bay,543,0,Non-profit,Managed by Extendicare,50.9,
Humber Valley Terrace,Etobicoke (Rexdale),158,36,For-profit (financialized),Revera (wholly owned subsidiary of the Public Sector Pension Investment Board),41,
Idlewyld Manor,Hamilton,192,0,Non-profit,,62.3,
Ina Grafton Gage Home,Scarborough,128,31,Non-profit,,61.3,
IOOF Seniors Home,Barrie,182,0,Non-profit,,44.8,
Isabel and Arthur Meighen Manor,Toronto,168,48,Non-profit,,65.1,
Ivan Franko Home (Etobicoke),Toronto,85,0,Non-profit,,86.4,
Kennedy Lodge,Scarborough,289,0,For-profit (financialized),Revera (wholly owned subsidiary of the Public Sector Pension Investment Board),59.8,
Kensington Village,London,78,7,For-profit,Sharon Farms & Enterprises Limited,60.8,
Kilean Lodge,Grimsby,50,0,For-profit (financialized),Revera (wholly owned subsidiary of the Public Sector Pension Investment Board),42.1,
Kipling Acres,Etobicoke,337,16,Municipal,,49.5,
Kristus Darzs Latvian Home,Woodbridge,100,11,Non-profit,,79.8,
Labdara Lithuanian Nursing Home,Etobicoke,90,0,Non-profit,Managed by Assured Care Consulting Inc.,91.4,
Lakeshore Lodge,Etobicoke,150,12,Municipal,,54.2,
Lakeview Manor,Beaverton,149,0,Municipal,,43.8,
Lambton Meadowview Villa,Petrolia,125,0,Municipal,,51.4,
Lanark Heights Long Term Care Centre,Kitchener,160,0,For-profit,Steeves & Rozema Enterprises Limited,59.2,
Lanark Lodge,Perth,163,0,Municipal,,50,
Leamington Mennonite Home Long Term Care Residence,Leamington,84,0,Non-profit,,69.1,
Macassa Lodge,Hamilton,270,0,Municipal,,58.5,
Mackenzie Health Long Term Care Facility,Richmond Hill,168,0,Non-profit,Managed by Universalcare Canada Inc.,54.2,
MacKenzie Place,Newmarket,93,15,For-profit (financialized),Revera (wholly owned subsidiary of the Public Sector Pension Investment Board),41.4,
Madonna Care Community,Orleans,160,46,For-profit (financialized),Sienna Senior Living (REIT),42.4,
Main Street Terrace,Toronto,150,0,For-profit (financialized),Revera (wholly owned subsidiary of the Public Sector Pension Investment Board),39.8,
Maitland Manor,Goderich,91,0,For-profit,Grosvenor Health Care Partnership (No. 3); Managed by Extendicare,39.8,
Manitoulin Lodge,Gore Bay,62,0,For-profit,584482 Ontario Inc.,42.3,
Manoir Marochel,Ottawa,64,9,For-profit (financialized),"Cvh (No. 4) Lp By Its General Partners, Southbridge Health Care Gp Inc. And Southbridge Care Homes (A Limited Partnership, By Its General Partner, Southbridge Care Homes Inc.)",48.8,
Maple Grove Care Community,Brampton,160,<5,For-profit (financialized),Sienna Senior Living (REIT),51.9,
Maple View,Owen Sound,29,0,For-profit (financialized),"Cvh (No. 3) Lp By Its General Partners, Southbridge Health Care Gp Inc. And Southbridge Care Homes (A Limited Partnership, By Its General Partner, Southbridge Care Homes Inc.)",56.4,
Maple View Lodge,Athens,60,0,Municipal,,48.2,
Maplewood,Brighton,49,0,For-profit,0760444 B.C. Ltd. As General Partner On Behalf Of Omni Health Care Limited Partnership,48.8,
Markhaven,Markham,96,17,Non-profit,,59.6,
Marshall Gowland Manor,Sarnia,126,0,Municipal,,51.7,
Maxville Manor,Maxville,122,0,Non-profit,,51,
Maynard Nursing Home,Toronto,77,0,For-profit,Schlegel Villages Inc.,36.4,
McCall Centre Long Term Care Interim Unit,Etobicoke,21,0,Non-profit,Managed by Extendicare,66,
Meadow Park (London),London,126,<5,For-profit,Meadow Park (London) Inc.,40.7,
Miramichi Lodge,Pembroke,166,0,Municipal,,48.3,
Moira Place Long-Term Care Home,Tweed,128,0,For-profit,Aon Inc.,54.5,
Mon Sheong Home for the Aged,Toronto,105,33,Non-profit,,58.6,
Mon Sheong Scarborough Long Term Care Centre,Scarborough,160,0,Non-profit,,70.4,
Montfort,Ottawa,128,30,For-profit (financialized),Revera (wholly owned subsidiary of the Public Sector Pension Investment Board),48.9,
Mount Hope Centre for Long Term Care,London,394,0,Non-profit,,48.3,
North Park Nursing Home,North York,75,0,For-profit,North Park Nursing Home Limited; Managed by Assured Care Consulting Inc.,37.1,
Northridge,Oakville,133,0,For-profit,Axr Operating (National) Lp,63.3,
Northview Nursing Home,Englehart,48,0,For-profit,675412 Ontario Inc.,29.6,
Norview Lodge,Simcoe,179,0,Municipal,,50.6,
Norwood Nursing Home,Toronto,60,0,For-profit,Norwood Nursing Home Limited,45.6,
Orchard Villa,Pickering,233,70,For-profit (financialized),"Cvh (No. 6) Lp By Its General Partners, Southbridge Health Care Gp Inc. And Southbridge Care Homes (A Limited Partnership, By Its General Partner, Southbridge Care Homes Inc.)",53.7,
Owen Hill Care Community,Barrie,57,12,For-profit (financialized),Sienna Senior Living (REIT),45.6,
Parkview Manor Health Care Centre,Chesley,34,0,For-profit,Grosvenor Health Care Partnership (No. 3); Managed by Extendicare,43.1,
Parkwood Mennonite Home,Waterloo,96,0,Non-profit,,59,
Peel Manor,Brampton,177,<5,Municipal,,48,
peopleCare Hilltop Manor Cambridge,Cambridge,185,0,For-profit,Peoplecare Communities Inc.,50,
peopleCare Oakcrossing London,London,160,0,For-profit,Peoplecare Communities Inc.,52.6,
Peter D. Clark Centre,Ottawa,216,8,Municipal,,44.2,
Pinecrest (Plantagenet),Plantagenet,60,11,For-profit (financialized),"Cvh (No. 4) Lp By Its General Partners, Southbridge Health Care Gp Inc. And Southbridge Care Homes (A Limited Partnership, By Its General Partner, Southbridge Care Homes Inc.)",40.7,
Pinecrest Nursing Home (Bobcaygeon),Bobcaygeon,65,29,For-profit,Medlaw Corporation Limited,50.9,
Pinehaven Nursing Home,Waterloo,84,0,For-profit,Schlegel Villages Inc.,44.9,
Pioneer Manor,Sudbury,433,0,Municipal,,43.8,
Post Inn Village,Oakville,228,0,Municipal,,53.6,
Providence Healthcare,Scarborough,288,<5,Non-profit,,62.6,
Providence Manor,Kingston,243,0,Non-profit,,48,
ReachView Village,Uxbridge,100,17,For-profit (financialized),Revera (wholly owned subsidiary of the Public Sector Pension Investment Board),33.2,
Regency Park Long Term Care Home,Windsor,72,0,For-profit,"Dtoc Long Term Care Lp, By Its General Partner, Dtoc Long Term Care Mgp (A General Partnership) By Its Partners, Dtoc Long Term Care Gp Inc. And Arch Venture Holdings Inc.; Managed by Universalcare Canada Inc.",37.7,
Regina Gardens,Hamilton,128,0,Non-profit,Managed by Chartwell,59,
Residence Saint-Louis,Ottawa,198,9,Non-profit,,38.2,
River Glen Haven Nursing Home,Sutton West,119,36,For-profit,Atk Care Inc.,46.3,
Riverview Gardens,Chatham,320,0,Municipal,,51.3,
Riverview Manor Nursing Home,Peterborough,124,0,For-profit,0760444 B.C. Ltd. As General Partner On Behalf Of Omni Health Care Limited Partnership,43.5,
Rockcliffe Care Community,Scarborough,204,0,For-profit (financialized),Sienna Senior Living (REIT),34.1,
Rosebridge Manor,Jasper,78,0,For-profit,0760444 B.C. Ltd. As General Partner On Behalf Of Omni Health Care Limited Partnership,36.9,
Royal Rose Place,Welland,96,20,For-profit,859530 Ontario Inc. (Operating As Jarlette Health Services),47.4,
Royal Terrace,Palmerston,67,0,For-profit,Shanti Enterprises Limited,54.4,
Saint Luke's Place,Cambridge,114,0,Non-profit,,58.2,
Secord Trails Care Community,Ingersoll,80,0,For-profit (financialized),Sienna Senior Living (REIT),48.3,
Seven Oaks,Scarborough,249,41,Municipal,,46.8,
Shalom Manor Long Term Care Home,Grimsby,144,0,Non-profit,,73.8,
Shelburne Long Term Care Home,Shelburne,60,18,For-profit (financialized),"Cvh (No. 8) Lp By Its General Partners, Southbridge Health Care Gp Inc. And Southbridge Care Homes (A Limited Partnership, By Its General Partner, Southbridge Care Homes Inc.)",37.5,
Shepherd Lodge,Toronto,252,0,Non-profit,,62.4,
Sherbourne Place,Toronto,126,19,Non-profit,,33.9,
Sheridan Villa,Mississauga,142,<5,Municipal,,28.8,
Sherwood Court Long Term Care Centre,Maple,96,0,For-profit,Axr Operating (National) Lp,55.6,
Silverthorn Care Community,Mississauga,160,0,For-profit (financialized),Sienna Senior Living (REIT),60.6,
Simcoe Manor Home for the Aged,Beeton,126,0,Municipal,,57.2,
Spencer House,Orillia,160,0,For-profit (financialized),Sienna Senior Living (REIT),54.7,
Sprucedale Care Centre,Strathroy,96,0,For-profit,Sprucedale Care Centre Inc.; Managed by C.D. Micallef Consulting Services Inc.,51.8,
St. Andrew's Terrace Long Term Care Community,Cambridge,128,0,For-profit,Steeves & Rozema Enterprises Limited,51,
St. Clair O'Connor Community Nursing Home,East York,25,8,Non-profit,,89.5,
St. Gabriel's Villa of Sudbury,Chelmsford,128,0,Non-profit,,60.4,
St. George Care Community,Toronto,238,0,For-profit (financialized),Sienna Senior Living (REIT),16.9,
St. Joseph's at Fleming,Peterborough,200,<5,Non-profit,,62.9,
St. Joseph's Continuing Care Centre,Cornwall,150,0,Non-profit,,60.8,
St. Joseph's Lifecare Centre,Brantford,205,0,Non-profit,,52.8,
"St. Joseph's Villa, Dundas",Dundas,425,0,Non-profit,,43.7,
"St. Joseph's Villa, Sudbury",Sudbury,128,<5,Non-profit,,58.7,
St. Patrick's Home,Ottawa,288,<5,Non-profit,,47.8,
Stayner Care Centre,Stayner,49,0,For-profit,Stayner Care Centre Inc.,57.5,
Stirling Heights,Cambridge,110,0,For-profit,Axr Operating (National) Lp,59.5,
Stoneridge Manor,Carleton Place,60,6,For-profit,Stoneridge Manor Operating Inc.,46.9,
Strathcona Long Term Care,Mount Forest,87,0,For-profit,Sharon Farms & Enterprises Limited,N/A,
Sumac Lodge,Sarnia,100,0,For-profit (financialized),Revera (wholly owned subsidiary of the Public Sector Pension Investment Board),34.6,
Sun Parlor Home for Senior Citizens,Leamington,206,<5,Municipal,,50.3,
Sunnycrest Nursing Home,Whitby,136,0,For-profit,Sunnycrest Nursing Homes Limited,47.1,
Sunnyside Home,Kitchener,263,0,Municipal,,37.8,
Tall Pines Long Term Care Centre,Brampton,160,0,Municipal,,51.3,
Telfer Place,Paris,45,0,For-profit (financialized),Revera (wholly owned subsidiary of the Public Sector Pension Investment Board),52.2,
Temiskaming Lodge,Haileybury,83,0,For-profit,Jarlette Ltd.,37.3,
The Henley House,St. Catharines,160,0,For-profit,Henley House Limited,60.3,
The Norfolk Hospital Nursing Home,Simcoe,80,0,Non-profit,,49.2,
The O'Neill Centre,Toronto,162,0,For-profit,848357 Ontario Inc.; Managed by Responsive Health Management Inc.,48.4,
The Village at St. Clair,Windsor,256,0,For-profit,Schlegel Villages Inc.,49.5,
The Village at University Gates,Waterloo,192,0,For-profit,Schlegel Villages Inc.,45.6,
The Village of Aspen Lake,Windsor,192,0,For-profit,R-b-j Schlegel Holdings Inc.,48.6,
The Village of Erin Meadows,Mississauga,180,20,For-profit,Schlegel Villages Inc.,53.7,
The Village of Humber Heights,Etobicoke,192,23,For-profit,Oakwood Retirement Communities Inc.,54.2,
The Village of Riverside Glen,Guelph,192,0,For-profit,Schlegel Villages Inc.,49.1,
The Village of Sandalwood Park,Brampton,120,0,For-profit,Oakwood Retirement Communities Inc.,51.1,
The Village of Taunton Mills,Whitby,120,0,For-profit,Oakwood Retirement Communities Inc.,52.6,
The Village of Wentworth Heights,Hamilton,120,0,For-profit,Oakwood Retirement Communities Inc.,53.1,
The Village of Winston Park,Kitchener,95,0,For-profit,Winston Hall Nursing Homes Limited,55.5,
The Wexford,Scarborough,166,0,Non-profit,,55.5,
The Woodlands of Sunset,Welland,121,0,Municipal,,55.2,
Thompson House,North York,136,0,Non-profit,,53.3,
Thorntonview,Oshawa,154,0,For-profit (financialized),Revera (wholly owned subsidiary of the Public Sector Pension Investment Board),48.9,
Tony Stacey Centre for Veterans' Care,Toronto,100,0,Non-profit,Managed by Universalcare Canada Inc.,43,
Trinity Village Care Centre,Kitchener,150,18,Non-profit,,56.7,
True Davidson Acres,Toronto,187,<5,Municipal,,44.9,
Tufford Nursing Home,St. Catharines,64,0,For-profit,Unger Nursing Homes Limited,65.8,
Tullamore Care Community,Brampton,159,0,For-profit (financialized),Sienna Senior Living (REIT),32.2,
Twin Oaks of Maryhill,Maryhill,31,0,For-profit,Twin Oaks Of Maryhill Inc.,53.8,
Union Villa,Unionville,160,0,Non-profit,,64.5,
Valleyview Residence,North York,174,<5,Non-profit,,65.2,
Vermont Square,Toronto,130,0,For-profit,Vermont Square Ltc Inc. As General Partner Of Vermont Square Ltc Limited Partnership; Managed by Responsive Health Management,38,
Villa Colombo Seniors Centre (Vaughan),Vaughan,160,21,Non-profit,Managed by Universalcare Canada Inc.,64,
Villa Forum,Mississauga,160,10,Non-profit,Managed by Chartwell,70.8,
Villa Leonardo Gambin,Woodbridge,168,12,For-profit (financialized),Sienna Senior Living (REIT),68.6,
Villa Marconi,Ottawa,128,0,Non-profit,"Managed by Diversicare Canada Management Services Co., Inc.",63.7,
Vision Nursing Home,Sarnia,146,10,Non-profit,,52.9,
Wellesley Central Place,Toronto,150,10,Non-profit,,39.7,
Wellington Terrace Long-Term Care Home,Fergus,176,0,Municipal,,61.5,
Wentworth Lodge,Dundas,160,0,Municipal,,57.3,
West Oak Village,Oakville,133,0,For-profit,Axr Operating (National) Lp,52.7,
West Park Health Centre,St. Catharines,101,<5,For-profit,Managed by Extendicare,28.9,
West Park Long Term Care Centre,Toronto,200,30,Non-profit,Managed by Extendicare,50.4,
Westmount Gardens Long Term Care Home,London,160,0,For-profit,Steeves & Rozema Enterprises Limited,62.6,
Westside,Etobicoke,242,<5,For-profit (financialized),Revera (wholly owned subsidiary of the Public Sector Pension Investment Board),44.2,
Wikwemikong Nursing Home,Wikwemikong,59,0,Non-profit,,22,
Winbourne Park,Ajax,110,0,For-profit,Axr Operating (National) Lp,46.4,
Woodhall Park Care Community,Brampton,147,0,For-profit (financialized),Sienna Senior Living (REIT),55.1,
Woodland Villa,Long Sault,111,0,For-profit,0760444 B.C. Ltd. As General Partner On Behalf Of Omni Health Care Limited Partnership,56.4,
Woods Park Care Centre,Barrie,123,0,For-profit (financialized),Sienna Senior Living (REIT),54.5,
Wyndham Manor Long Term Care Centre,Oakville,128,0,Non-profit,Managed by Extendicare,51.6,
Yee Hong Centre - Markham,Markham,200,0,Non-profit,,66.7,
Yee Hong Centre - Mississauga,Mississauga,200,0,Non-profit,,71.4,
Yee Hong Centre - Scarborough Finch,Scarborough,250,0,Non-profit,,71,
Yee Hong Centre - Scarborough McNicoll,Scarborough,155,0,Non-profit,,71.2,